,IOU
ARMS,0.43511610342898555
AisazuNihaIrarenai,0.22080874415310278
AkkeraKanjinchou,0.45670763519338775
Akuhamu,0.2204025653033493
AosugiruHaru,0.31895191562527314
AppareKappore,0.4190498666076395
Arisa,0.33946359724594616
BEMADER_P,0.2973005655657456
BakuretsuKungFuGirl,0.37230682200401843
Belmondo,0.2631181512068709
BokuHaSitatakaKun,0.0579172603862219
BurariTessenTorimonocho,0.3142068413929217
ByebyeC-BOY,0.3032120589965343
Count3DeKimeteAgeru,0.45359931379213086
DollGun,0.42949270268023493
Donburakokko,0.47659912587533904
DualJustice,0.45000644110727217
EienNoWith,0.3285495484385802
EvaLady,0.14453017220275388
EverydayOsakanaChan,0.18268223861200344
GOOD_KISS_Ver2,0.4318332873751483
GakuenNoise,0.317548852647388
GarakutayaManta,0.3502235979406584
GinNoChimera,0.5636118504451078
Hamlet,0.07222159706227872
HanzaiKousyouninMinegishiEitarou,0.5320785013914354
HaruichibanNoFukukoro,0.3708598671831661
HarukaRefrain,0.33494922507984054
HealingPlanet,0.33645912007785805
HeiseiJimen,0.2997023908061307
HighschoolKimengumi_vol01,0.19122514739250773
HighschoolKimengumi_vol20,0.25153932501571813
HinagikuKenzan,0.43839457585304986
HisokaReturns,0.45141488305547445
JangiriPonpon,0.12783058820055293
JijiBabaFight,0.3279662321547629
Joouari,0.5308152176195202
Jyovolley,0.32071526521328136
KarappoHighschool,0.3002299413363087
KimiHaBokuNoTaiyouDa,0.4050417877081354
KoukouNoHitotachi,0.15823219565562696
KuroidoGanka,0.23356458566220875
KyokugenCyclone,0.2711462030089906
LancelotFullThrottle,0.23066352999229028
LoveHina_vol01,0.38903037862479534
LoveHina_vol14,0.3023051622729752
MAD_STONE,0.3429636760754846
MadouTaiga,0.3493229246811844
MagicStarGakuin,0.2378604611000399
MagicianLoad,0.3517290885472917
MariaSamaNihaNaisyo,0.2173573215078579
MayaNoAkaiKutsu,0.4476810996974568
MemorySeijin,0.31523494028818333
MeteoSanStrikeDesu,0.4436775301019686
MiraiSan,0.40786551935379134
MisutenaideDaisy,0.39381347296898195
MoeruOnisan_vol01,0.15830245681410154
MoeruOnisan_vol19,0.2275799624891104
MomoyamaHaikagura,0.3111406924843058
MukoukizuNoChonbo,0.1369220471006911
MutekiBoukenSyakuma,0.16747681203412101
Nekodama,0.38301019268949676
NichijouSoup,0.23728397913702778
Ningyoushi,0.4194647262864745
OL_Lunch,0.5701745329587863
OhWareraRettouSeitokai,0.2971688259606647
PLANET7,0.3280391879632583
ParaisoRoad,0.21391075736931162
PikaruGenkiDesu,0.3104617917282417
PlatinumJungle,0.46418371109076295
PrayerHaNemurenai,0.4619794459887954
PrismHeart,0.45453971516043884
PsychoStaff,0.40941449134545854
Raphael,0.09316035706941718
ReveryEarth,0.3969088594228494
RinToSiteSippuNoNaka,0.20088332709988874
RisingGirl,0.39570833096767805
Saisoku,0.3791044294341711
SaladDays_vol01,0.5135075259708943
SaladDays_vol18,0.38981450851178856
SamayoeruSyonenNiJunaiWo,0.36590284734983175
SeisinkiVulnus,0.4132484288324849
ShimatteIkouze_vol01,0.30113679369145074
ShimatteIkouze_vol26,0.38962452224977717
SonokiDeABC,0.24666568250722853
SyabondamaKieta,0.3736012066428385
TaiyouNiSmash,0.5631526891317826
TapkunNoTanteisitsu,0.32890410828054983
TasogareTsushin,0.4485110442545026
TennenSenshiG,0.3152065336384845
TensiNoHaneToAkumaNoShippo,0.5184999141349821
TetsuSan,0.3335310982747428
That'sIzumiko,0.266188690565743
TotteokiNoABC,0.5331938421784509
ToutaMairimasu,0.2795840776742981
TouyouKidan,0.16433055390719922
TsubasaNoKioku,0.3253386616346226
UchiNoNyan'sDiary,0.5504038458382533
UchuKigekiM774,0.3568664126342527
UltraEleven,0.3367045456945433
UnbalanceTokyo,0.313786787216595
WarewareHaOniDearu,0.375181543091968
YamatoNoHane,0.49798961802638136
YasasiiAkuma,0.4168644066406446
YouchienBoueigumi,0.431204960025962
YoumaKourin,0.24819770940140054
YukiNoFuruMachi,0.2794487148871375
YumeNoKayoiji,0.5829997390957361
YumeiroCooking,0.34974158732002647
